_idlisting,_idseason,type,status,from,to,minStay
604e42ff500e5de7df1a1e11,604fa588c46b50221d3753df,global,active,2021-05-01,2021-06-01,10
604e42ff500e5de7df1a1e11,604fa5c299f210ba4a39f461,global,active,2021-06-01,2021-07-01,10
604e42ff500e5de7df1a1e11,604fa5e199f210939e39f46a,global,active,2021-07-01,2021-08-01,10
604e42ff500e5de7df1a1e11,604fa5fe99f2107d0239f473,global,active,2021-08-01,2021-09-01,10
604fa4aa99f210117939f41f,604fa588c46b50221d3753df,global,active,2021-05-01,2021-06-01,10
604fa4aa99f210117939f41f,604fa5c299f210ba4a39f461,global,active,2021-06-01,2021-07-01,10
604fa4aa99f210117939f41f,604fa5e199f210939e39f46a,global,active,2021-07-01,2021-08-01,10
604fa4aa99f210117939f41f,604fa5fe99f2107d0239f473,global,active,2021-08-01,2021-09-01,10
604fa4f6c46b506d633753bf,604fa588c46b50221d3753df,global,active,2021-05-01,2021-06-01,10
604fa4f6c46b506d633753bf,604fa5c299f210ba4a39f461,global,active,2021-06-01,2021-07-01,10
604fa4f6c46b506d633753bf,604fa5e199f210939e39f46a,global,active,2021-07-01,2021-08-01,10
604fa4f6c46b506d633753bf,604fa5fe99f2107d0239f473,global,active,2021-08-01,2021-09-01,10
5fc7bd3e7211848967eaa210,5f491351144ab74c21fca420,global,active,2021-05-01,2021-06-01,2
5fc7bd3e7211848967eaa210,5f491486144ab7288afca459,global,active,2021-06-01,2021-07-01,3
5fc7bd3e7211848967eaa210,5f49156e144ab7708efca495,global,active,2021-06-02,2021-06-06,5
5fc7bd3e7211848967eaa210,5f5c5622e5b2df6e17e54b6d,global,active,2021-07-01,2021-08-01,2
5fc7bd3e7211848967eaa210,5dee47708e9f440010d8cb79,global,active,2021-08-01,2021-09-01,2
5fc7bd3e7211848967eaa210,5dee478d8e9f440010d8cb7c,global,active,2021-09-01,2021-10-01,5
5fc7bd3e7211848967eaa210,5dee4bb98e9f440010d8cfba,global,active,2021-09-03,2021-09-07,4
5fe38946114e07ccf399432e,5fecccc57338d3367a5db066,global,active,2021-05-01,2021-06-01,2
5fe38946114e07ccf399432e,5feccd047338d304e45db075,global,active,2021-06-01,2021-07-01,2
5fe38946114e07ccf399432e,5fece77e7338d3b85a5dc46a,global,active,2021-06-02,2021-06-06,4
5fe38946114e07ccf399432e,5feccd287338d392ff5db07e,global,active,2021-07-01,2021-08-01,3
5fe38946114e07ccf399432e,5feccd577338d364af5db097,global,active,2021-08-01,2021-09-01,2
5fe38946114e07ccf399432e,5feccd727338d35b9a5db09d,global,active,2021-09-01,2021-10-01,2
5fe38946114e07ccf399432e,5fece7ae665fdac1159463e2,global,active,2021-09-03,2021-09-07,4
60198294837487bc292bf781,5fecccc57338d3367a5db066,global,active,2021-05-01,2021-06-01,2
60198294837487bc292bf781,5feccd047338d304e45db075,global,active,2021-06-01,2021-07-01,2
60198294837487bc292bf781,5fece77e7338d3b85a5dc46a,global,active,2021-06-02,2021-06-06,4
60198294837487bc292bf781,5feccd287338d392ff5db07e,global,active,2021-07-01,2021-08-01,3
60198294837487bc292bf781,5feccd577338d364af5db097,global,active,2021-08-01,2021-09-01,2
60198294837487bc292bf781,5feccd727338d35b9a5db09d,global,active,2021-09-01,2021-10-01,2
60198294837487bc292bf781,5fece7ae665fdac1159463e2,global,active,2021-09-03,2021-09-07,4
60198b838374874a082bf9c0,5fecccc57338d3367a5db066,global,active,2021-05-01,2021-06-01,2
60198b838374874a082bf9c0,5feccd047338d304e45db075,global,active,2021-06-01,2021-07-01,2
