_id,id,_t_propertyTypeMeta,_idtype,_t_typeMeta,subtype,internalName,_mstitle,status,countryCode,stateCode,city,region,address,cep
5fc7bd3e7211848967eaa210,LL02G,Acomodação móvel,5ab8f8a2f6b2dc2e97f97050,Apartamento,entire_home,ELU101,"Studio novo e confortável, perto da praia - ELU101",active,BR,SC,Florianópolis,Jurerê,"Rua Professor Renato Barbosa, 227",88053-640
5fe38946114e07ccf399432e,MG02G,Casa,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,ATL018,Ateliê aconchegante em meio à natureza ATL018,active,BR,SC,Florianópolis,Porto da Lagoa,"Rodovia Antônio Luís Moura Gonzaga, 95",88062-477
60198294837487bc292bf781,NV01G,Casa,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,AGAC5402,Studio com vista para Lagoa da Conceição AGAC5402,active,BR,SC,Florianópolis,Lagoa da Conceição,"Rodovia Admar Gonzaga, 5402",88062-001
60198b838374874a082bf9c0,NV02G,Casa,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,AGAB5402,Studio aconchegante em meio à mata nativa AGAB5402,active,BR,SC,Florianópolis,Lagoa da Conceição,"Rodovia Admar Gonzaga, 5402",88062-001
605cb7b6ce0749bc65a07c12,PU01G,Casa,5ab8f8a2f6b2dc2e97f97054,Chalé,entire_home,MAV001,Chalé com vista mar 300m da praia em Jurerê MAV001,active,BR,SC,Florianópolis,Jurerê,"Rod. Tertuliano Brito Xavier, 3415",88054-601
605cba6ece07493b1ba07cda,PU02G,Casa,5ab8f8a2f6b2dc2e97f97054,Chalé,entire_home,MAV002,Aconchegante chalé com vista mar em Jurerê MAV002,active,BR,SC,Florianópolis,Jurerê,"Rod. Tertuliano Brito Xavier, 3415",88054-601
605e1dfc55709bb9e50d0ee7,PV02G,Pousada,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,PATY002,Maravilhosa suíte aconchegante em Jurerê PATY002,active,BR,SC,Florianópolis,Jurerê Tradicional,"R. Jorge Cherem, 95",88053-620
606468aa013df341e99648dd,QA01G,Pousada,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,PATY003,Charmosa suíte em pousada em Jurerê PATY003,active,BR,SC,Florianópolis,Jurerê Tradicional,"R. Jorge Cherem, 95",88053-620
606476f1013df3582f964bc5,QA02G,Pousada,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,PATY004,Aconchegante suíte a 250m da praia PATY004,active,BR,SC,Florianópolis,Jurerê Tradicional,"R. Jorge Cherem, 95",88053-620
60673c4138ffae3e1420e24d,QC01G,Pousada,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,PATY005,Linda suíte com varanda pousada em Jurerê PATY005,active,BR,SC,Florianópolis,Jurerê Tradicional,"R. Jorge Cherem, 95",88053-620
60673de5f3c76e1f8442b05b,QC02G,Pousada,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,PATY006,Suíte com sacada/jacuzzi pousada em Jurerê PATY006,active,BR,SC,Florianópolis,Jurerê Tradicional,"R. Jorge Cherem, 95",88053-620
5d51a18608eac6001040e0d2,TB01F,Resort de férias,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,JBV134,Estúdio vista mar e piscina Resort Pé na Areia JBV134,active,BR,SC,Florianópolis,Jurerê,"Alameda César Nascimento, 646",88053-500
5d51a25e08eac6001040e681,TB24F,Resort de férias,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,JBV464,Vista Mar Resort Pé na Areia - JBV464,active,BR,SC,Florianópolis,Jurerê,"Alameda César Nascimento, 646",88053-500
5db998aa17604600116f9835,WC02F,Prédio,5ab8f8a2f6b2dc2e97f97050,Apartamento,entire_home,JBM303,Apto com vista incrível de frente p/ o mar JBM303,active,BR,SC,Florianópolis,Jurerê,"Rua Jornalista Haroldo Calado, 305",88053-600
5f281b4e27571330a960652b,GU01G,Resort de férias,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,JBV124,Lindo Studio Vista Mar em Jurerê JBV124,active,BR,SC,Florianópolis,Jurerê,"Alameda César Nascimento, 646",88053-500
5f294f5047e1366a0f1a0457,GV01G,Resort de férias,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,JBV265,Studio confortável em Resort em Jurerê JBV265,active,BR,SC,Florianópolis,Jurerê,"Alameda César Nascimento, 646",88053-500
5f8a24eb0f974ae3810be62c,JQ01G,Resort de férias,5ab8f8a2f6b2dc2e97f9704f,Estúdio,entire_home,JBV465,Studio vista mar em resort pé na areia JBV465,active,BR,SC,Florianópolis,Jurerê,"Alameda César Nascimento, 646",88053-500
