_id,name,hint,type,from,to,status,ratePlans,_idregion,useMonthlyRate
5dd57c57911b560010d2405b,0-7 dias Mid,,event,2019-11-21,2019-12-01,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd57a53911b560010d23fc5,Dezembro Fase 2,,season,2019-12-01,2020-01-01,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dfb2dd5c3041c0010aca2ec,0-14-HighFP,0-14-HighFP,event,2019-12-18,2019-12-27,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd57c14911b560010d2403d,Reveillon,,event,2019-12-27,2020-01-04,active,"[{'minStay': 5, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd6ed488dccc00010bc9288,Janeiro Fase 2,,season,2020-01-01,2020-02-01,active,"[{'minStay': 3, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd57ed9911b560010d24418,0-7 dias High Fase 2,,event,2020-01-23,2020-02-01,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd6ed7e8dccc00010bc9290,Fevereiro Fase 2,,season,2020-02-01,2020-03-01,active,"[{'minStay': 3, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5e29d1136cfdbc0011d7aa12,7-14 dias High Fase 2,,event,2020-02-01,2020-02-21,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd58207911b560010d245ae,Carnaval,,event,2020-02-21,2020-02-26,active,"[{'minStay': 5, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd58299911b560010d245cd,Pós Carnaval,,event,2020-02-26,2020-03-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd57ac0911b560010d23fe1,Março Fase 2,,season,2020-03-01,2020-04-01,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd5857b911b560010d24717,Aniversario Florianópolis,,event,2020-03-20,2020-03-22,active,"[{'minStay': 3, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd6f9fc8dccc00010bc98e0,Abril Fase 2,,season,2020-04-01,2020-05-01,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd58606911b560010d24729,Sexta-Feira Santa,,event,2020-04-09,2020-04-12,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd58943911b560010d248b4,Tiradentes,,event,2020-04-17,2020-04-21,active,"[{'minStay': 1, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd589a7911b560010d248c6,Dia do trabalhador,,event,2020-04-30,2020-05-03,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd57b23911b560010d24005,Maio Fase 2,,season,2020-05-01,2020-06-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd7f3c59272470010966746,Junho Fase 2,,season,2020-06-01,2020-07-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd58b09911b560010d2490a,Corpus Christi,,event,2020-06-10,2020-06-14,active,"[{'minStay': 5, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dd68a35911b560010d27766,Julho Fase 2,,season,2020-07-01,2020-08-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5e57f7b44f23c500103e598d,Fevereiro 2021 Fase 2,,season,2021-02-01,2021-03-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5f4912bc144ab76260fca3e8,Março 2021 Fase 2,,season,2021-03-01,2021-04-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5f4912fa144ab753dffca3f5,Abril 2021 Fase 2,,season,2021-04-01,2021-05-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5f49132e144ab7fa81fca3fd,Páscoa 2021 Fase 2,,event,2021-04-01,2021-04-04,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5f491351144ab74c21fca420,Maio 2021 Fase 2,,season,2021-05-01,2021-06-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5f491486144ab7288afca459,Junho 2021 Fase 2,,season,2021-06-01,2021-07-01,active,"[{'minStay': 3, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5f49156e144ab7708efca495,Corpus Christi 2021 Fase 2,,event,2021-06-02,2021-06-06,active,"[{'minStay': 5, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5f5c5622e5b2df6e17e54b6d,Julho Fase 2,2021,season,2021-07-01,2021-08-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dee47708e9f440010d8cb79,Agosto Fase 2 2020,,season,2021-08-01,2021-09-01,active,"[{'minStay': 2, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dee478d8e9f440010d8cb7c,Setembro Fase 2 2020,,season,2021-09-01,2021-10-01,active,"[{'minStay': 5, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dee4bb98e9f440010d8cfba,Feriado Fase 2 Independência 2021,,event,2021-09-03,2021-09-07,active,"[{'minStay': 4, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
5dee47c68e9f440010d8cb8a,Outubro Fase 2 2021,,season,2021-10-01,2021-11-01,active,"[{'minStay': 5, '_i_percent': 0}]",5dced40d9d6eb50010416ca4,False
